transaction_id,product_id,product_name,region_id,region_name,date,quantity,price_per_unit,total_price
T9935,P001,Blender,R01,Jakarta,2024-06-22,3.0,456787,1370361.0
T4257,P001,Blender,R05,Makassar,2024-05-09,,233326,933304.0
T3615,P005,Electric Kettle,R04,Medan,2024-01-02,2.0,671029,1342058.0
T2584,P004,Air Purifier,R03,Surabaya,27-01-2024,3.0,363032,1089096.0
T7201,P003,Vacuum Cleaner,R03,Surabaya,2024-05-17,5.0,477370,2386850.0
T2139,P001,Blender,R05,Makassar,2024-05-27,3.0,859176,2577528.0
T6977,P001,Blender,R02,Bandung,2024-04-07,3.0,283667,851001.0
T3803,P002,Rice Cooker,R03,Surabaya,2024-06-23,3.0,419684,1259052.0
T4598,P005,Electric Kettle,R02,Bandung,2024-06-12,2.0,684714,1369428.0
T6155,P003,Vacuum Cleaner,R01,Jakarta,2024-01-17,2.0,233659,467318.0
T9830,P002,Rice Cooker,R04,Medan,2024-03-04,4.0,874079,3496316.0
T2489,P003,Vacuum Cleaner,R05,Makassar,2024-02-05,4.0,811878,3247512.0
T7252,P001,Blender,R01,Jakarta,01-06-2024,2.0,857924,1715848.0
T2876,P005,Electric Kettle,R04,Medan,2024-01-03,5.0,463626,2318130.0
T5315,P005,Electric Kettle,R03,Surabaya,2024-01-01,3.0,316970,950910.0
T4258,P005,Electric Kettle,R02,Bandung,2024-06-12,5.0,311579,1557895.0
T9005,P002,Rice Cooker,R03,Surabaya,2024-01-01,2.0,765579,1531158.0
T2403,P001,Blender,R01,Jakarta,2024-05-25,3.0,522451,1567353.0
T9645,P004,Air Purifier,R01,Jakarta,2024-05-20,5.0,331869,1659345.0
T7118,P005,Electric Kettle,R04,Medan,2024-03-20,2.0,765492,1530984.0
T4770,P004,Air Purifier,R05,Makassar,2024-01-06,4.0,326882,1307528.0
T6413,P005,Electric Kettle,R02,Bandung,2024-01-18,1.0,274441,274441.0
T8744,P001,Blender,R05,Makassar,2024-02-03,2.0,492004,984008.0
T8651,P002,Rice Cooker,R04,Medan,2024-03-31,4.0,399659,1598636.0
T4116,P001,Blender,R01,Jakarta,2024-01-28,1.0,622179,622179.0
T2604,P005,Electric Kettle,R04,Medan,2024-01-20,2.0,642374,1284748.0
T8886,P001,Blender,R05,Makassar,2024-02-12,1.0,297793,297793.0
T8454,P002,Rice Cooker,R04,Medan,2024-03-08,1.0,372634,372634.0
T1958,P003,Vacuum Cleaner,R04,Medan,2024-03-16,5.0,894022,4470110.0
T9701,P005,Electric Kettle,R05,Makassar,2024-05-02,1.0,984309,984309.0
T4853,P002,Rice Cooker,R01,Jakarta,2024-01-18,5.0,284002,1420010.0
T9565,P004,Air Purifier,R01,Jakarta,2024-01-21,5.0,458175,
T5915,P003,Vacuum Cleaner,R03,Surabaya,2024-04-11,2.0,902258,1804516.0
T4492,P004,Air Purifier,R03,Surabaya,26-01-2024,1.0,209767,209767.0
T8179,P005,Electric Kettle,R03,Surabaya,2024-04-04,2.0,565962,1131924.0
T2697,P005,Electric Kettle,R03,Surabaya,2024-05-21,5.0,885743,4428715.0
T6617,P002,Rice Cooker,R03,Surabaya,2024-03-13,1.0,312235,312235.0
T7939,P002,Rice Cooker,R03,Surabaya,14-01-2024,5.0,712262,3561310.0
T8239,P003,Vacuum Cleaner,R01,Jakarta,2024-03-08,1.0,549759,549759.0
T9938,P005,Electric Kettle,R04,Medan,2024-06-25,5.0,210139,1050695.0
T1653,P001,Blender,R03,Surabaya,2024-03-19,5.0,779364,3896820.0
T3532,P003,Vacuum Cleaner,R02,Bandung,2024-04-14,2.0,899330,1798660.0
T7745,P002,Rice Cooker,R02,Bandung,2024-03-26,,632322,1264644.0
